mz	time	Statistic
153.1273	569.9	0.258038503
174.9919	570.5	0.020357606
181.1586	569.3	0.010553421
189.1637	568.8	0.014795059
193.1587	569.2	0.033264761
211.1692	569.2	0.004342736
219.1379	569.3	0.0484674
223.0964	568.8	0.025029909
245.2262	569.5	0.016284391
246.2295	569.7	0.053044552
250.9999	570.5	0.030020638
252.997	570.5	0.024332062
263.2367	569.1	0.018634232
264.24	569.3	0.008889156
281.2473	568.8	0.011526638
282.2506	569	0.012255689
298.3466	570.6	0.029863785
301.2643	570.2	0.012650073
311.1851	569.6	0.018952601
319.2747	569.8	0.010970729
322.2738	569.1	0.013031627
328.0112	570.5	0.037686939
330.0082	570.4	0.026104692
332.0052	570.5	0.032567444
332.9988	570.5	0.020263835
